Year,Solid_Fuel,Petroleum,Gas,Bio_waste,Electricity,Sector
1970,45572.66552,37757.66856,2808.246638,0,2820.373897,Industry
1970,899.3121174,31514.54842,1.226745804,0,106.5224882,Transport
1970,38261.97311,9797.975843,6979.141058,0,2976.337202,Domestic
1970,14260.04925,13295.50481,1511.385558,0,1531.766413,Services
1971,40284.45888,37249.99263,6219.172153,0,2845.504729,Industry
1971,745.0471204,31998.03509,8.566701969,0,106.8247459,Transport
1971,34486.1092,10647.94676,9767.869028,0,3126.76482,Domestic
1971,12216.3848,13646.53995,2224.392117,0,1592.905705,Services
1972,34345.42975,38943.88361,10297.12176,0,2925.425154,Industry
1972,583.9768477,33013.54145,21.81444295,0,106.4720852,Transport
1972,31164.66392,13425.72,12569.24353,0,3473.593663,Domestic
1972,10752.92948,14828.43507,2966.820273,0,1697.044153,Services
1973,37748.26616,38626.3219,12203.90901,0,2840.223727,Industry
1973,596.8566687,35424.77064,7.837593881,0,92.41866864,Transport
1973,33028.19797,12826.37742,12805.91561,0,3238.366653,Domestic
1973,11861.6792,14623.13804,2956.337788,0,1625.578368,Services
1974,32205.7371,34361.77116,14297.12603,0,3311.044999,Industry
1974,551.8227075,34036.21365,32.7567826,0,118.8866856,Transport
1974,30419.35406,12782.4412,15280.86791,0,4045.703748,Domestic
1974,10101.08613,13147.05137,3849.249273,0,1850.364567,Services
1975,32821.61333,29229.04895,14314.91262,0,2993.876729,Industry
1975,611.7759576,33318.52879,30.8077826,0,115.0602416,Transport
1975,29599.50307,10129.67379,16644.15345,0,3544.225113,Domestic
1975,10683.10764,12285.34777,4070.315322,0,1799.375827,Services
1976,34643.83699,28289.5214,15684.64387,0,3730.886875,Industry
1976,640.7796601,34604.48221,22.56941427,0,132.5941091,Transport
1976,28408.57813,8604.00728,17082.78007,0,3928.435993,Domestic
1976,11322.80522,11982.16139,4398.006644,0,2159.619841,Services
1977,33782.70758,28333.05598,16569.05447,0,4084.471659,Industry
1977,654.4748112,35384.36473,18.26064359,0,145.9360355,Transport
1977,28828.98917,8733.943422,18341.64802,0,4277.315706,Domestic
1977,11996.82844,12658.73826,4597.036862,0,2465.276599,Services
1978,32615.14499,28332.1513,16401.748,0,3847.425631,Industry
1978,657.874637,37273.09001,11.96571243,0,135.3151634,Transport
1978,27713.33991,8994.191557,19721.17773,0,3930.532582,Domestic
1978,12334.64047,12577.60177,4864.108553,0,2387.193887,Services
1979,35081.31332,28197.23981,17028.7635,0,3944.203086,Industry
1979,686.4642498,38391.34482,7.272105077,0,133.0978589,Transport
1979,29539.12267,8622.084808,22434.73333,0,4040.620432,Domestic
1979,13507.09977,12469.92501,5448.231062,0,2479.078623,Services
1980,29876.73068,21385.93482,16387.25932,0,3648.08529,Industry
1980,730.1891553,38422.74431,6.074098903,0,139.4511739,Transport
1980,28782.24462,6288.310567,22762.32,0,3940.294047,Domestic
1980,13873.83554,10099.63301,5629.34658,0,2519.169489,Services
1981,29785.0572,18146.69129,15714.0036,0,3692.520876,Industry
1981,733.0444709,37101.88603,3.095214317,0,144.4220639,Transport
1981,27987.89881,5058.101156,23887.29344,0,4048.278702,Domestic
1981,14358.99952,9232.051558,5787.607746,0,2678.778358,Services
1982,27398.56817,17448.81853,15678.35024,0,4199.748048,Industry
1982,612.7583696,38482.95071,2.768514461,0,151.3839608,Transport
1982,26212.23817,5443.624642,23562.10068,0,4704.140895,Domestic
1982,13734.43528,9295.911041,5922.780566,0,3217.404966,Services
1983,27702.1126,14981.69528,15617.26408,0,4688.672889,Industry
1983,641.4755183,39142.98494,3.047506441,0,181.6345991,Transport
1983,25836.79033,4595.465866,24843.80281,0,5242.401039,Domestic
1983,14409.62155,8507.922808,6615.885608,0,3754.762198,Services
1984,20630.52027,19957.35169,16350.07725,0,5203.449689,Industry
1984,409.9287864,40045.39342,5.928943071,0,190.1823133,Transport
1984,17908.97925,11554.33855,24967.8343,0,5553.01556,Domestic
1984,9788.571693,13094.37669,6844.159505,0,3898.352438,Services
1985,26816.05733,14441.00196,16760.81786,0,5726.726663,Industry
1985,545.4139174,40885.58954,7.592024959,0,212.7524605,Transport
1985,24306.76411,7169.831167,27390.8909,0,6350.744706,Domestic
1985,13155.76464,9682.348429,7643.699217,0,4561.613779,Services
1986,28328.87927,13415.13094,15299.80854,0,5367.484275,Industry
1986,602.813238,44116.81704,2.525107401,0,201.9434089,Transport
1986,26265.08648,5479.756243,29088.22283,0,6153.426191,Domestic
1986,14811.22102,8136.558385,8274.443521,0,4468.485238,Services
1987,30097.27094,11274.34662,15906.986,0,5682.499551,Industry
1987,616.3457456,46460.21707,2.523670745,0,187.4053568,Transport
1987,25705.04739,4732.223019,29688.76502,0,5689.598238,Domestic
1987,15302.33593,6964.613605,8491.725307,0,4234.367248,Services
1988,30179.41655,12891.22838,14385.70469,175.0064505,6619.308667,Industry
1988,622.4428002,48474.52168,13.03115733,2.521941169,223.5503047,Transport
1988,23867.01738,5240.467504,28439.42009,276.0078471,6294.28872,Domestic
1988,14952.12328,7435.608537,8513.520766,193.8046556,4946.64504,Services
1989,29512.50563,12352.13832,13777.35444,188.6332798,7072.667068,Industry
1989,584.8803534,51042.35158,6.844852778,3.01465422,225.0018061,Transport
1989,22153.45389,5164.990441,27278.55821,278.9156268,6563.931367,Domestic
1989,14763.16013,6839.777348,8050.484119,199.5364392,5374.399759,Services
1990,29376.33047,12506.51887,14379.26926,182.5835486,6503.076776,Industry
1990,975.3129624,51659.58766,11.85554217,4.124614322,341.8717427,Transport
1990,21878.63815,5820.563385,28580.26881,273.8481977,6060.521927,Domestic
1990,14723.71841,7172.040722,8215.606387,193.6345743,4828.28092,Services
1991,28410.66467,12695.33011,13788.15719,191.9634883,6816.388912,Industry
1991,952.5342167,51354.88157,11.79779629,4.537972081,361.3967729,Transport
1991,22708.73711,5996.440907,31867.22961,288.5521396,6715.293339,Domestic
1991,14995.06401,7090.731822,9695.068191,213.0464,5346.920976,Services
1992,26333.54046,12115.60843,13138.33318,320.7475892,6891.747748,Industry
1992,911.1416461,51920.05967,32.37756815,5.216128796,387.7344047,Transport
1992,21243.66638,6179.73845,31940.60889,295.9391979,7195.374907,Domestic
1992,14571.65152,7277.008651,9968.680358,202.0970841,5884.14294,Services
1993,22902.43298,11912.17589,15540.23928,444.4040198,7921.533222,Industry
1993,1047.923615,53957.70848,204.9754481,12.31736437,609.7145528,Transport
1993,18853.01485,5602.192349,35460.072,423.4191509,8217.354168,Domestic
1993,12109.62855,6654.058634,11743.12256,290.1594649,6657.398057,Services
1994,21891.46601,11022.60786,17540.94957,742.2387302,7661.854145,Industry
1994,920.6435838,54642.08946,268.3776793,15.00660136,567.8607564,Transport
1994,17236.57032,4991.924437,34539.732,486.0955657,8267.635486,Domestic
1994,11223.32008,6010.921576,12507.69053,364.6591028,6589.649612,Services
1995,21521.98857,9837.313771,18819.65991,811.5222683,7913.787534,Industry
1995,924.6011654,54864.47742,364.8152935,16.52368714,581.5703536,Transport
1995,15596.92001,4968.481652,35678.87064,498.0012455,8037.741208,Domestic
1995,10880.49025,5751.117737,14372.65416,397.652799,6582.900905,Services
1996,17844.5486,9616.766505,21907.65618,759.8278037,8112.978426,Industry
1996,960.9920157,57089.4217,510.4212387,17.36707576,639.3668148,Transport
1996,16381.93139,5565.34435,42064.28143,469.8847792,8329.12206,Domestic
1996,10550.23292,5547.4453,16501.43142,367.1030213,6753.13283,Services
1997,17030.04398,8107.904285,24444.36645,958.9467605,8571.600437,Industry
1997,823.5156147,58397.43912,648.363161,25.0625656,680.1838945,Transport
1997,13675.50245,4602.712838,40757.01265,580.490738,8378.373668,Domestic
1997,9262.788455,4375.218174,17684.44324,480.0426185,7331.548195,Services
1998,16147.73633,7884.473353,25412.6246,897.7483247,8495.954646,Industry
1998,873.6386802,58764.11193,687.0769509,29.1305035,674.6696586,Transport
1998,14357.92853,4661.995825,42708.07013,639.4154205,8672.965262,Domestic
1998,9590.757933,4046.272502,18508.30743,510.7357513,7180.305214,Services
1999,14095.11431,7207.634866,27920.37338,828.0559153,8310.26476,Industry
1999,733.8482902,61172.81193,789.3040483,35.57565033,642.4065371,Transport
1999,12502.21043,4278.224264,43886.19381,717.4629923,8260.093759,Domestic
1999,8661.527541,3773.84388,19915.47872,644.197442,6954.973784,Services
2000,15316.33567,7821.280279,29022.83614,834.0324518,7403.621771,Industry
2000,801.2470071,61087.39072,803.8129765,40.61317108,559.4579981,Transport
2000,13022.80635,4282.638725,45465.63729,791.849201,7256.279881,Domestic
2000,9400.470681,3528.806882,20575.46939,639.8501761,6153.324301,Services
2001,15757.96313,8182.646206,27912.08834,873.8422492,7402.688376,Industry
2001,870.9538725,59516.82686,785.717558,47.78747903,586.9598249,Transport
2001,13921.17824,4457.086684,46248.76595,892.555693,7668.575592,Domestic
2001,10227.76818,3706.44469,20613.44534,718.7245787,6463.938289,Services
2002,14374.3424,7521.344482,27332.70134,937.9647413,7052.659449,Industry
2002,789.420492,59564.76143,792.9025155,50.59492287,541.2217002,Transport
2002,13360.04421,3921.667397,47012.01602,989.4463371,7683.017885,Domestic
2002,9175.575321,2472.567046,19190.06713,776.9529987,6066.603724,Services
2003,15104.44535,8022.367439,26793.05013,1052.80222,6700.420934,Industry
2003,845.5585424,59485.64697,746.3987481,57.31175258,503.5455051,Transport
2003,14406.26396,3828.377887,47649.40131,1127.20689,7541.81075,Domestic
2003,10125.26066,1680.730442,19447.09134,880.8891372,5869.510621,Services
2004,14839.48012,8024.639343,26403.91335,1177.469856,6377.078003,Industry
2004,402.8637781,61049.36034,383.664702,32.49406067,232.1371574,Transport
2004,13822.12238,4030.076166,49170.36176,1264.845416,7105.541685,Domestic
2004,10000.62193,1952.244315,20681.9689,1006.860667,5676.525246,Services
2005,15270.34062,7599.449462,26118.55073,1317.988939,6575.48108,Industry
2005,409.518077,64166.74627,364.6959952,117.6362064,230.0599893,Transport
2005,13706.06004,4010.433297,47449.6937,1535.034763,7124.480213,Domestic
2005,10473.12891,2440.594733,20352.88692,1197.356503,5830.56466,Services
2006,16545.19954,7297.006287,24815.90436,1361.351217,6169.196778,Industry
2006,457.162718,63747.26026,341.2575425,240.5995051,214.8686529,Transport
2006,14928.31568,4151.332619,45410.48351,1612.729528,6695.803345,Domestic
2006,11426.96523,2169.678731,18824.33411,1207.982365,5456.734896,Services
2007,15813.07998,7140.282159,25039.18362,1396.023401,5076.564948,Industry
2007,426.879272,63521.12067,387.4526082,425.1237822,178.2908736,Transport
2007,13945.2391,3608.662642,45255.75861,1628.158661,5539.062504,Domestic
2007,10775.59312,2040.042031,19509.33373,1204.815126,4582.398486,Services
2008,14892.06621,7162.811284,25278.32324,1608.515567,4646.283069,Industry
2008,391.8636458,61126.82549,405.3188629,929.781332,160.9282851,Transport
2008,12780.95983,3974.524175,45802.39899,2187.696922,4876.218032,Domestic
2008,10095.50562,2111.570665,21622.89357,1288.918438,4229.752098,Services
2009,11221.08621,6201.319585,21590.4259,1642.900804,5184.619643,Industry
2009,352.879099,58830.29016,420.7509702,1145.396147,210.5768754,Transport
2009,11089.63876,3916.589631,44509.59086,2463.180639,6162.034741,Domestic
2009,8531.993544,1907.118849,19666.79835,1418.840372,5168.004717,Services
2010,12064.59,6430.05,22847.18,1836.87,4880.36,Industry
2010,358.2,57811.79,435.83,1333.14,189.89,Transport
2010,11428.88,4203.18,49220.43,3018.46,5547.7,Domestic
2010,8764.39,1789.72,21042.63,1608.5,4733.9,Services
2011,11900.21,5218.06,20459.73,2050.06,5813.63,Industry
2011,378.81,57627.49,382.1,1245.29,238.72,Transport
2011,11048.13,3203.1,39086.16,2909.05,6334.22,Domestic
2011,8919.37,1770.72,17719.68,1704.7,5657.53,Services
2012,14263.86,5342.96,17189.93,2057.64,5724.75,Industry
2012,528.26,56715.83,284.67,1073.32,260.5,Transport
2012,14350.13,3215.87,39426.71,3433.59,6667.11,Domestic
2012,11777.21,1725.05,16364.13,1864.44,5853.67,Services
2013,14068.55,4619.27,17017.03,2272.54,6041.68,Industry
2013,478.34,56227.61,263.12,1205.81,271.14,Transport
2013,13409.02,3306.04,38952.91,3921.33,7065.34,Domestic
2013,11084.44,1637.52,16378.77,2241.19,6324.82,Services
2014,11819.32,4769.63,16815.79,2694.41,5903.01,Industry
2014,406.2,56385.55,300.3,1382.21,285.89,Transport
2014,10554.68,2906.67,33601.96,4278.9,6859.57,Domestic
2014,8730.77,1952.85,15414.59,2810.44,6169.3,Services
2015,9486.12,4824.9,16684.04,4204.28,6716.42,Industry
2015,323.4,57120.82,299.37,1276.27,326.47,Transport
2015,8467.72,2937.85,35481.7,5687.32,7790.48,Domestic
2015,6844.24,2374.02,15641.99,3533.2,7103.56,Services
2016,4906.66,4569.43,18717.57,4748.17,6495.96,Industry
2016,154.94,58136.35,430.02,1338.66,330.38,Transport
2016,4279.7,2964.35,39146.21,6252.62,7639.63,Domestic
2016,3098.11,2355.43,18383.87,3942.35,7029.39,Services
2017,4099.05,4812.9,19086.84,4216.43,6837.55,Industry
2017,126.85,58849.54,432.66,1175.84,353.05,Transport
2017,3492.69,2856.34,37486.32,5631.37,7780.12,Domestic
2017,2399.32,2376,17945.03,4944.98,7222.8,Services
